Symbol,Security,GICS Sector,GICS Sub-Industry,Headquaters Location,Date first added,Founded
MMM,3M Company,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",8/9/1976,1902
ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",########,1888
ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,"North Chicago, Illinois",########,2013 (1888)
ABMD,ABIOMED Inc,Health Care,Health Care Equipment,"Danvers, Massachusetts",########,1981
ACN,Accenture plc,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",7/6/2011,1989
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,"Santa Monica, California",########,2008
ADBE,Adobe Inc.,Information Technology,Application Software,"San Jose, California",5/5/1997,1982
AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,"Santa Clara, California",########,1969
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",7/9/2015,1932
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",########,1981
AFL,AFLAC Inc,Financials,Life & Health Insurance,"Columbus, Georgia",########,1955
A,Agilent Technologies Inc,Health Care,Health Care Equipment,"Santa Clara, California",6/5/2000,1999
APD,Air Products & Chemicals Inc,Materials,Industrial Gases,"Allentown, Pennsylvania",########,1940
AKAM,Akamai Technologies Inc,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",########,1998
ALK,Alaska Air Group Inc,Industrials,Airlines,"Seattle, Washington",########,1985
ALB,Albemarle Corp,Materials,Specialty Chemicals,"Charlotte, North Carolina",7/1/2016,1994
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",########,1994
ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,"Boston, Massachusetts",########,1992
ALGN,Align Technology,Health Care,Health Care Supplies,"San Jose, California",########,1997
ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",########,1908
LNT,Alliant Energy Corp,Utilities,Electric Utilities,"Madison, Wisconsin",7/1/2016,1917
ALL,Allstate Corp,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",########,1931
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,"Mountain View, California",4/3/2014,1998
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,"Mountain View, California",4/3/2006,1998
MO,Altria Group Inc,Consumer Staples,Tobacco,"Richmond, Virginia",3/4/1957,1985
AMZN,Amazon.com Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",########,1994
AMCR,Amcor plc,Materials,Paper Packaging,"Warmley, Bristol, United Kingdom",6/7/2019,2019 (1860)
AEE,Ameren Corp,Utilities,Multi-Utilities,"St. Louis, Missouri",########,1902
AAL,American Airlines Group,Industrials,Airlines,"Fort Worth, Texas",########,1934
AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",3/4/1957,1906
AXP,American Express Co,Financials,Consumer Finance,"New York, New York",########,1850
AIG,American International Group,Financials,Property & Casualty Insurance,"New York, New York",########,1919
AMT,American Tower Corp.,Real Estate,Specialized REITs,"Boston, Massachusetts",########,1995
AWK,American Water Works Company Inc,Utilities,Water Utilities,"Camden, New Jersey",3/4/2016,1886
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",########,1894
ABC,AmerisourceBergen Corp,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",########,1985
AME,AMETEK Inc.,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",########,1930
AMGN,Amgen Inc.,Health Care,Biotechnology,"Thousand Oaks, California",1/2/1992,1980
APH,Amphenol Corp,Information Technology,Electronic Components,"Wallingford, Connecticut",########,1932
ADI,"Analog Devices, Inc.",Information Technology,Semiconductors,"Norwood, Massachusetts",########,1965
ANSS,ANSYS,Information Technology,Application Software,"Canonsburg, Pennsylvania",########,1969
ANTM,Anthem,Health Care,Managed Health Care,"Indianapolis, Indiana",########,2014 (1946)
AON,Aon plc,Financials,Insurance Brokers,"London, United Kingdom",########,1982 (1919)
AOS,A.O. Smith Corp,Industrials,Building Products,"Milwaukee, Wisconsin",########,1916
APA,Apache Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas",########,1954
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",########,1977
AMAT,Applied Materials Inc.,Information Technology,Semiconductor Equipment,"Santa Clara, California",########,1967
APTV,Aptiv PLC,Consumer Discretionary,Auto Parts & Equipment,"Dublin, Ireland",########,1994
ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,"Chicago, Illinois",########,1902
ANET,Arista Networks,Information Technology,Communications Equipment,"Santa Clara, California",########,2004
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Itasca, Illinois",########,1927
AIZ,Assurant,Financials,Multi-line Insurance,"New York, New York",########,1892
T,AT&T Inc.,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",1983-11-30 (1957-03-04),1983 (1885)
ATO,Atmos Energy,Utilities,Gas Utilities,"Dallas, Texas",########,1906
ADSK,Autodesk Inc.,Information Technology,Application Software,"San Rafael, California",########,1982
ADP,Automatic Data Processing,Information Technology,Internet Services & Infrastructure,"Roseland, New Jersey",########,1949
AZO,AutoZone Inc,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",1/2/1997,1979
AVB,AvalonBay Communities,Real Estate,Residential REITs,"Arlington, Virginia[3]",########,1978
AVY,Avery Dennison Corp,Materials,Paper Packaging,"Glendale, California",########,1990
BKR,Baker Hughes Co,Energy,Oil & Gas Equipment & Services,"Houston, Texas",7/7/2017,2017
BLL,Ball Corp,Materials,Metal & Glass Containers,"Broomfield, Colorado",########,1880
BAC,Bank of America Corp,Financials,Diversified Banks,"Charlotte, North Carolina",########,1998 (1923 / 1874)
BK,The Bank of New York Mellon,Financials,Asset Management & Custody Banks,"New York, New York",########,1784
BAX,Baxter International Inc.,Health Care,Health Care Equipment,"Deerfield, Illinois",########,1931
BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",########,1897
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska",########,1839
BBY,Best Buy Co. Inc.,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",########,1966
BIO,Bio-Rad Laboratories,Health Care,Life Sciences Tools & Services,"Hercules, California",########,1952
BIIB,Biogen Inc.,Health Care,Biotechnology,"Cambridge, Massachusetts",########,1978
BLK,BlackRock,Financials,Asset Management & Custody Banks,"New York, New York",4/4/2011,1988
BA,Boeing Company,Industrials,Aerospace & Defense,"Chicago, Illinois",3/4/1957,1916
BKNG,Booking Holdings Inc,Consumer Discretionary,Internet & Direct Marketing Retail,"Norwalk, Connecticut",########,1996
BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",########,1880
BXP,Boston Properties,Real Estate,Office REITs,"Boston, Massachusetts",4/3/2006,1970
BSX,Boston Scientific,Health Care,Health Care Equipment,"Marlborough, Massachusetts[4]",########,1979
BMY,Bristol-Myers Squibb,Health Care,Health Care Distributors,"New York, New York",3/4/1957,1989
AVGO,Broadcom Inc.,Information Technology,Semiconductors,"San Jose, California",5/8/2014,1961
BR,Broadridge Financial Solutions,Information Technology,Data Processing & Outsourced Services,"Lake Success, New York",########,1962
BF.B,Brown-Forman Corp.,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",########,1870
CHRW,C. H. Robinson Worldwide,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",3/2/2007,1905
COG,Cabot Oil & Gas,Energy,Oil & Gas Exploration & Production,"Houston, Texas",########,1989
CDNS,Cadence Design Systems,Information Technology,Application Software,"San Jose, California",########,1988
CPB,Campbell Soup,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",3/4/1957,1869
COF,Capital One Financial,Financials,Consumer Finance,"Tysons Corner, Virginia",7/1/1998,1935
CAH,Cardinal Health Inc.,Health Care,Health Care Distributors,"Dublin, Ohio",########,1971
KMX,Carmax Inc,Consumer Discretionary,Specialty Stores,"Richmond, Virginia",########,1993
CCL,Carnival Corp.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",########,1972
CARR,Carrier Global,Industrials,Building Products,"Palm Beach Gardens, Florida",4/3/2020,2020 (1915)
CTLT,Catalent,Health Care,Pharmaceuticals,"Somerset, New Jersey",########,2007
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Trucks,"Deerfield, Illinois",3/4/1957,1925
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,"Chicago, Illinois",3/1/2017,1973
CBRE,CBRE Group,Real Estate,Real Estate Services,"Los Angeles, California",########,1906
CDW,CDW,Information Technology,Technology Distributors,"Lincolnshire, Illinois",########,1984
CE,Celanese,Materials,Specialty Chemicals,"Irving, Texas",########,1918
CNC,Centene Corporation,Health Care,Managed Health Care,"St. Louis, Missouri",########,1984
CNP,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",########,1882
CERN,Cerner,Health Care,Health Care Technology,"North Kansas City, Missouri",########,1979
CF,CF Industries Holdings Inc,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",########,1946
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,"San Francisco, California",6/2/1997,1971
CHTR,Charter Communications,Communication Services,Cable & Satellite,"Stamford, Connecticut",9/8/2016,1993
CVX,Chevron Corp.,Energy,Integrated Oil & Gas,"San Ramon, California",3/4/1957,1879
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Newport Beach, California",########,1993
CB,Chubb Limited,Financials,Property & Casualty Insurance,"Zurich, Switzerland",########,1985
CHD,Church & Dwight,Consumer Staples,Household Products,"Ewing, New Jersey",########,1847
CI,CIGNA Corp.,Health Care,Managed Health Care,"Bloomfield, Connecticut",########,1982
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,"Fairfield, Ohio",########,1950
CTAS,Cintas Corporation,Industrials,Diversified Support Services,"Mason, Ohio",3/1/2001,1929
CSCO,Cisco Systems,Information Technology,Communications Equipment,"San Jose, California",########,1984
C,Citigroup Inc.,Financials,Diversified Banks,"New York, New York",########,1998
CFG,Citizens Financial Group,Financials,Regional Banks,"Providence, Rhode Island",########,1828
CTXS,Citrix Systems,Information Technology,Application Software,"Fort Lauderdale, Florida",########,1989
CLX,The Clorox Company,Consumer Staples,Household Products,"Oakland, California",########,1913
CME,CME Group Inc.,Financials,Financial Exchanges & Data,"Chicago, Illinois",########,1848
CMS,CMS Energy,Utilities,Multi-Utilities,"Jackson, Michigan",5/3/1999,1886
KO,Coca-Cola Company,Consumer Staples,Soft Drinks,"Atlanta, Georgia",3/4/1957,1886
CTSH,Cognizant Technology Solutions,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",########,1994
CL,Colgate-Palmolive,Consumer Staples,Household Products,"New York, New York",3/4/1957,1806
CMCSA,Comcast Corp.,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",########,1963
CMA,Comerica Inc.,Financials,Diversified Banks,"Dallas, Texas",########,1849
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",########,1919
CXO,Concho Resources,Energy,Oil & Gas Exploration & Production,"Midland, Texas",########,2004
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,"Houston, Texas",3/4/1957,2002
ED,Consolidated Edison,Utilities,Electric Utilities,"New York, New York",,1823
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,"Victor, New York",7/1/2005,1945
COO,The Cooper Companies,Health Care,Health Care Supplies,"San Ramon, California",########,1958
CPRT,Copart Inc,Industrials,Diversified Support Services,"Dallas, Texas",7/2/2018,1982
GLW,Corning Inc.,Information Technology,Electronic Components,"Corning, New York",,1851
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,"Wilmington, Delaware",6/3/2019,2019
COST,Costco Wholesale Corp.,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",########,1976
CCI,Crown Castle International Corp.,Real Estate,Specialized REITs,"Houston, Texas",########,1994
CSX,CSX Corp.,Industrials,Railroads,"Jacksonville, Florida",########,1980
CMI,Cummins Inc.,Industrials,Industrial Machinery,"Columbus, Indiana",########,1919
CVS,CVS Health,Health Care,Health Care Services,"Woonsocket, Rhode Island",3/4/1957,1996
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,"Fort Worth, Texas",########,1978
DHR,Danaher Corp.,Health Care,Health Care Equipment,"Washington, D.C.",,1969
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,"Orlando, Florida",,1938
DVA,DaVita Inc.,Health Care,Health Care Facilities,"Denver, Colorado",########,1979
DE,Deere & Co.,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",3/4/1957,1837
DAL,Delta Air Lines Inc.,Industrials,Airlines,"Atlanta, Georgia",########,1929
XRAY,Dentsply Sirona,Health Care,Health Care Supplies,"Charlotte, North Carolina",########,2016 (1969)
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",########,1971
DXCM,DexCom,Health Care,Health Care Equipment,"San Diego, California",########,1999
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,"Midland, Texas",########,2007
DLR,Digital Realty Trust Inc,Real Estate,Specialized REITs,"San Francisco, California",########,2004
DFS,Discover Financial Services,Financials,Consumer Finance,"Riverwoods, Illinois",7/2/2007,1985
DISCA,"Discovery, Inc. (Class A)",Communication Services,Broadcasting,"Silver Spring, Maryland",3/1/2010,1985
DISCK,"Discovery, Inc. (Class C)",Communication Services,Broadcasting,"Silver Spring, Maryland",8/7/2014,1985
DISH,Dish Network,Communication Services,Cable & Satellite,"Meridian, Colorado",########,1980
DG,Dollar General,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",########,1939
DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",########,1986
D,Dominion Energy,Utilities,Electric Utilities,"Richmond, Virginia",,1983
DPZ,Domino's Pizza,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",########,1960
DOV,Dover Corporation,Industrials,Industrial Machinery,"Downers Grove, Illinois",########,1955
DOW,Dow Inc.,Materials,Commodity Chemicals,"Midland, Michigan",4/1/2019,2019
DTE,DTE Energy Co.,Utilities,Multi-Utilities,"Detroit, Michigan",3/4/1957,1995
DUK,Duke Energy,Utilities,Electric Utilities,"Charlotte, North Carolina",########,1904
DRE,Duke Realty Corp,Real Estate,Industrial REITs,"Indianapolis, Indiana",########,1972
DD,DuPont de Nemours Inc,Materials,Specialty Chemicals,"Midland, Michigan",4/2/2019,2017
DXC,DXC Technology,Information Technology,IT Consulting & Other Services,"Tysons Corner, Virginia",4/4/2017,2017
EMN,Eastman Chemical,Materials,Diversified Chemicals,"Kingsport, Tennessee",1/1/1994,1920
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,"Dublin, Ireland",,1911
EBAY,eBay Inc.,Consumer Discretionary,Internet & Direct Marketing Retail,"San Jose, California",,1995
ECL,Ecolab Inc.,Materials,Specialty Chemicals,"St. Paul, Minnesota",########,1923
EIX,Edison Int'l,Utilities,Electric Utilities,"Rosemead, California",3/4/1957,1886
EW,Edwards Lifesciences,Health Care,Health Care Equipment,"Irvine, California",4/1/2011,1958
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,"Redwood City, California",########,1982
EMR,Emerson Electric Company,Industrials,Electrical Components & Equipment,"Ferguson, Missouri",########,1890
ETR,Entergy Corp.,Utilities,Electric Utilities,"New Orleans, Louisiana",3/4/1957,1913
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,"Houston, Texas",########,1999
EFX,Equifax Inc.,Industrials,Research & Consulting Services,"Atlanta, Georgia",########,1899
EQIX,Equinix,Real Estate,Specialized REITs,"Redwood City, California",########,1998
EQR,Equity Residential,Real Estate,Residential REITs,"Chicago, Illinois",########,1969
ESS,"Essex Property Trust, Inc.",Real Estate,Residential REITs,"San Mateo, California",4/2/2014,1971
EL,Estée Lauder Companies,Consumer Staples,Personal Products,"New York, New York",1/5/2006,1946
ETSY,Etsy,Consumer Discretionary,Internet & Direct Marketing Retail,"Brooklyn, New York",########,2005
EVRG,Evergy,Utilities,Electric Utilities,"Kansas City, Missouri",6/5/2018,1909
ES,Eversource Energy,Utilities,Multi-Utilities,"Springfield, Massachusetts",,1966
RE,Everest Re Group Ltd.,Financials,Reinsurance,"Hamilton, Bermuda",########,1973
EXC,Exelon Corp.,Utilities,Multi-Utilities,"Chicago, Illinois",3/4/1957,2000
EXPE,Expedia Group,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",########,1996
EXPD,Expeditors,Industrials,Air Freight & Logistics,"Seattle, Washington",########,1979
EXR,Extra Space Storage,Real Estate,Specialized REITs,"Salt Lake City, Utah",########,1977
XOM,Exxon Mobil Corp.,Energy,Integrated Oil & Gas,"Irving, Texas",3/4/1957,1999
FFIV,F5 Networks,Information Technology,Communications Equipment,"Seattle, Washington",########,1996
FB,"Facebook, Inc.",Communication Services,Interactive Media & Services,"Menlo Park, California",########,2004
FAST,Fastenal Co,Industrials,Building Products,"Winona, Minnesota",########,1967
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,"Rockville, Maryland",2/1/2016,1962
FDX,FedEx Corporation,Industrials,Air Freight & Logistics,"Memphis, Tennessee",########,1971
FIS,Fidelity National Information Services,Information Technology,Data Processing & Outsourced Services,"Jacksonville, Florida",########,1968
FITB,Fifth Third Bancorp,Financials,Regional Banks,"Cincinnati, Ohio",,1858
FE,FirstEnergy Corp,Utilities,Electric Utilities,"Akron, Ohio",,1997
FRC,First Republic Bank,Financials,Regional Banks,"San Francisco, California",1/2/2019,1985
FISV,Fiserv Inc,Information Technology,Data Processing & Outsourced Services,"Brookfield, Wisconsin",4/2/2001,1984
FLT,FleetCor Technologies Inc,Information Technology,Data Processing & Outsourced Services,"Norcross, Georgia",########,2000
FLIR,FLIR Systems,Information Technology,Electronic Equipment & Instruments,"Wilsonville, Oregon",1/2/2009,1978
FLS,Flowserve Corporation,Industrials,Industrial Machinery,"Irving, Texas",########,1997
FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,"Philadelphia, Pennsylvania",########,1883
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,"Dearborn, Michigan",3/4/1957,1903
FTNT,Fortinet,Information Technology,Systems Software,"Sunnyvale, California",########,2000
FTV,Fortive Corp,Industrials,Industrial Machinery,"Everett, Washington",7/1/2016,2016
FBHS,Fortune Brands Home & Security,Industrials,Building Products,"Deerfield, Illinois",########,2011 (1969)
FOXA,Fox Corporation (Class A),Communication Services,Movies & Entertainment,"New York, New York",7/1/2013,2019
FOX,Fox Corporation (Class B),Communication Services,Movies & Entertainment,"New York, New York",########,2019
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,"San Mateo, California",,1947
FCX,Freeport-McMoRan Inc.,Materials,Copper,"Phoenix, Arizona",,1912
GPS,Gap Inc.,Consumer Discretionary,Apparel Retail,"San Francisco, California",########,1969
GRMN,Garmin Ltd.,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",########,1989
IT,Gartner Inc,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",4/5/2017,1979
GD,General Dynamics,Industrials,Aerospace & Defense,"Falls Church, Virginia",3/4/1957,1899
GE,General Electric,Industrials,Industrial Conglomerates,"Boston, Massachusetts",,1892
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,"Golden Valley, Minnesota",########,1856
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",6/6/2013,1908
GPC,Genuine Parts,Consumer Discretionary,Specialty Stores,"Atlanta, Georgia",########,1925
GILD,Gilead Sciences,Health Care,Biotechnology,"Foster City, California",7/1/2004,1987
GL,Globe Life Inc.,Financials,Life & Health Insurance,"McKinney, Texas",########,1900
GPN,Global Payments Inc.,Information Technology,Data Processing & Outsourced Services,"Atlanta, Georgia",########,2000
GS,Goldman Sachs Group,Financials,Investment Banking & Brokerage,"New York, New York",########,1869
GWW,Grainger (W.W.) Inc.,Industrials,Industrial Machinery,"Lake Forest, Illinois",########,1927
HAL,Halliburton Co.,Energy,Oil & Gas Equipment & Services,"Houston, Texas",3/4/1957,1919
HBI,Hanesbrands Inc,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Winston-Salem, North Carolina",########,2000
HIG,Hartford Financial Svc.Gp.,Financials,Property & Casualty Insurance,"Hartford, Connecticut",3/4/1957,1810
HAS,Hasbro Inc.,Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",########,1923
HCA,HCA Healthcare,Health Care,Health Care Facilities,"Nashville, Tennessee",########,1968
PEAK,Healthpeak Properties,Real Estate,Health Care REITs,"Long Beach, California",########,1985
HSIC,Henry Schein,Health Care,Health Care Distributors,"Melville, New York",########,1932
HSY,The Hershey Company,Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",3/4/1957,1894
HES,Hess Corporation,Energy,Integrated Oil & Gas,"New York, New York",########,1919
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",########,2015
HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",########,1919
HFC,HollyFrontier Corp,Energy,Oil & Gas Refining & Marketing,"Dallas, Texas",########,1947
HOLX,Hologic,Health Care,Health Care Equipment,"Marlborough, Massachusetts",########,1985
HD,Home Depot,Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",########,1978
HON,Honeywell Int'l Inc.,Industrials,Industrial Conglomerates,"Morristown, New Jersey",########,1906
HRL,Hormel Foods Corp.,Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",3/4/2009,1891
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",########,1993
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,"Pittsburgh, Pennsylvania",########,2016
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",########,1939 (2015)
HUM,Humana Inc.,Health Care,Managed Health Care,"Louisville, Kentucky",,1961
HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio",,1866
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,"Newport News, Virginia",1/3/2018,2011
IEX,IDEX Corporation,Industrials,Industrial Machinery,"Lake Forest, Illinois",8/9/2019,1988
IDXX,IDEXX Laboratories,Health Care,Health Care Equipment,"Westbrook, Maine",1/5/2017,1983
INFO,IHS Markit Ltd.,Industrials,Research & Consulting Services,"London, United Kingdom",6/2/2017,1959
ITW,Illinois Tool Works,Industrials,Industrial Machinery,"Glenview, Illinois",########,1912
ILMN,Illumina Inc,Health Care,Life Sciences Tools & Services,"San Diego, California",########,1998
INCY,Incyte,Health Care,Biotechnology,"Wilmington, Delaware",########,1991
IR,Ingersoll Rand,Industrials,Industrial Machinery,"Milwaukee, Wisconsin",3/3/2020,1859
INTC,Intel Corp.,Information Technology,Semiconductors,"Santa Clara, California",########,1968
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,"Atlanta, Georgia",########,2000
IBM,International Business Machines,Information Technology,IT Consulting & Other Services,"Armonk, New York",3/4/1957,1911
IP,International Paper,Materials,Paper Packaging,"Memphis, Tennessee",3/4/1957,1898
IPG,Interpublic Group,Communication Services,Advertising,"New York, New York",########,1961 (1930)
