Company Symbol,Security,GICS Sector,GICS Sub-Industry,Shares,1/1/2020,1/2/2020,1/3/2020,1/4/2020,1/5/2020,1/6/2020,1/7/2020,1/8/2020,1/9/2020,1/10/2020,1/11/2020,1/12/2020
PLD,Prologis,Real Estate,Industrial REITs,739223000,88.4,91.87,88.27,73.26,86.85,93.7,95.15,104.98,101.5,102.16,101.87,100.2
PRU,Prudential Financial,Financials,Life & Health Insurance,396000000,94.84,91.5,79.56,47,59.54,60.88,58.93,64.43,68,63.51,65.93,77.11
PEG,Public Service Enterprise Group (PSEG),Utilities,Electric Utilities,505848000,58.71,59.33,53.71,42.79,49.41,52.22,49.75,54.47,51,55.07,58.49,57.51
PSA,Public Storage,Real Estate,Specialized REITs,174822000,211.42,224.18,219.25,196.62,184.36,204.77,199.16,195.84,213.4,226.26,232.81,225.35
PHM,PulteGroup,Consumer Discretionary,Homebuilding,268094000,38.68,44.66,41.55,20.8,27.24,34.33,32.98,44.03,46.05,47.46,42.15,42.66
PVH,PVH Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",71100000,105.35,86.42,74.59,32.63,44.67,47.62,46.69,49.23,57.65,60.59,59.77,81.8
QRVO,Qorvo,Information Technology,Semiconductors,114054000,115.96,107.56,100.44,74.58,93.15,104.58,108.26,133.32,131.48,135.09,127.94,159.78
PWR,Quanta Services Inc.,Industrials,Construction & Engineering,138861000,41.09,39.47,38.83,30.79,34.97,37.93,38.34,41.2,52.57,53.56,66.45,69.96
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,1131000000,88.69,86.48,80.56,65.9,75.64,79.73,89.78,109.59,122.01,119.52,123.97,151.26
DGX,Quest Diagnostics,Health Care,Health Care Services,134766000,105.73,111.83,112.11,78.77,108.81,118.44,114.05,130.01,109.65,112.7,124.84,125.68
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",48223000,118.79,113.26,107.61,65.69,73.09,76.71,70.67,69.72,69.17,69.12,67.43,88.62
RJF,Raymond James Financial Inc.,Financials,Investment Banking & Brokerage,136932000,90.78,91.96,87.14,58.98,63.18,71.19,67.1,71.45,75.5,72.69,78.46,92.99
RTX,Raytheon Technologies,Industrials,Aerospace & Defense,1518716000,96.37,94.36,84.37,57.5,61.11,64.12,61.61,57.51,60.68,57.46,55.75,71.23
O,Realty Income Corporation,Real Estate,Retail REITs,350990000,72.48,78.2,74.99,46.47,51.79,56.57,61.09,59.41,62.45,62.28,59.64,60.37
REG,Regency Centers Corporation,Real Estate,Retail REITs,169680000,61.68,61.92,60.29,35.53,40.92,45.4,46.17,40.59,39.4,39.4,36.2,46.55
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,104857000,373.35,341.12,464.75,496.65,525.5,599.47,609.17,645.18,592.68,568.14,548.58,514.07
RF,Regions Financial Corp.,Financials,Regional Banks,960444000,17.09,15.86,14.51,8.3,10.17,11.48,10.63,10.76,11.63,11.53,13.76,15.87
RSG,Republic Services Inc,Industrials,Environmental & Facilities Services,318725000,89.83,95.84,94.08,72.71,77.13,85.05,81.39,87.43,93.29,92.97,89.86,97.15
RMD,ResMed,Health Care,Health Care Equipment,144915000,156.11,163.14,168.75,142.29,159.07,161.12,190.86,202,178.91,169.51,196.8,211.61
RHI,Robert Half International,Industrials,Human Resource & Employment Services,113980000,63.75,58.22,51.07,38.17,44.38,51.83,51.49,51,53.44,52.54,51.61,64.78
ROK,Rockwell Automation Inc.,Industrials,Electrical Components & Equipment,116171000,205.64,194.56,190.59,143.68,183.19,214.67,210.5,220.77,233.94,219.52,245.39,246.96
ROL,Rollins Inc.,Industrials,Environmental & Facilities Services,491624000,22.23,25.65,26.07,23.44,26.67,28.15,28.51,35.29,37.15,35.87,38.77,38.36
ROP,Roper Technologies,Industrials,Industrial Conglomerates,104872000,365.17,379.71,361.02,293.66,339.38,387.77,389.69,435.2,436.41,393.48,380.94,424
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,356006000,116.83,113.83,111.98,81.09,88.96,97.2,87.19,87.88,91.27,94.83,88.59,111.54
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",224339000,134.65,116.45,80.56,25.77,40.77,55.64,50.83,47.39,68.51,65.55,57.02,78.29
SPGI,"S&P Global, Inc.",Financials,Financial Exchanges & Data,240599000,277.84,295.67,289.31,234.33,286.06,327.3,334.52,350.68,368.39,363.73,327.92,334.32
CRM,Salesforce.com,Information Technology,Application Software,915000000,166.99,185.42,176.76,134.06,156.37,176.36,191.89,203.19,281.25,253.45,232.45,241.35
SBAC,SBA Communications,Real Estate,Specialized REITs,111115000,238.87,249.58,285.05,260.47,286.76,317.68,301.35,305.39,306.62,315.18,293.52,288.78
SLB,Schlumberger Ltd.,Energy,Oil & Gas Equipment & Services,1392030000,40.17,33.46,27.79,12.59,15.75,18.43,17.72,18.72,18.63,15.01,15.58,21.07
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",256932000,60.5,57.95,50.37,47.86,47.71,52.15,47.3,44.76,47.07,49.06,48.57,60.29
SEE,Sealed Air,Materials,Paper Packaging,155153000,38.87,36.19,31.44,24.52,28.22,32.43,32.4,36.18,40.26,39.93,40.49,46.1
SRE,Sempra Energy,Utilities,Multi-Utilities,288470000,149.12,161.06,142.23,103.71,119.93,129.07,121.35,124.04,122.25,119.13,127.62,127.76
NOW,ServiceNow,Information Technology,Systems Software,195100000,291.24,343.2,344.4,273.07,339.51,383.37,416.79,439.96,497.19,492.52,476,539.59
SHW,Sherwin-Williams,Materials,Specialty Chemicals,90825000,571.85,574.91,538.32,424.98,526.44,582.46,577.56,641.14,686.04,690.8,709.3,743.26
SPG,Simon Property Group Inc,Real Estate,Retail REITs,328128000,145.09,132.8,127.22,47.04,63.2,61.6,69.81,61.03,67.2,66.53,64.71,84.99
SWKS,Skyworks Solutions,Information Technology,Semiconductors,166082000,121.67,115.03,104.27,82.45,98.83,119.1,125.85,147.2,146.46,152.1,142.12,144
SLG,SL Green Realty,Real Estate,Office REITs,72570000,88.91,92.18,81.37,39.73,49.07,44.07,48.54,45.91,47.18,47.29,45.3,58.58
SNA,Snap-on,Industrials,Industrial Machinery,54215000,169,161.82,148.71,104.26,124.05,130.01,134.12,143.62,151.33,145.12,163.81,175.79
SO,Southern Company,Utilities,Electric Utilities,1056242000,62.62,70.7,63.93,50.14,54.41,57.7,52.87,54.01,51.81,54.62,59.01,60.57
LUV,Southwest Airlines,Industrials,Airlines,590273000,54.84,55.22,46.95,32.04,29.23,33.62,33.81,31.58,37.91,37.93,38.4,47.27
SWK,Stanley Black & Decker,Industrials,Industrial Machinery,160223000,168.02,160.87,142.42,92.13,106.5,125.09,135.61,154.4,165.34,162.63,168.71,181.92
SBUX,Starbucks Corp.,Consumer Discretionary,Restaurants,1173700000,89.35,86.01,82.38,62.62,73.79,78.32,74.03,75.5,86.05,86.74,85.97,98.82
STT,State Street Corp.,Financials,Asset Management & Custody Banks,352798000,80.76,76.09,68.69,50.4,59.08,62.35,62.13,64.32,68.58,58.75,59.68,72.26
STE,STERIS plc,Health Care,Health Care Equipment,85324000,151.7,151,163.4,137.7,141.4,165.65,154.28,161.07,158.77,174.47,181.57,193.93
SYK,Stryker Corp.,Health Care,Health Care Equipment,375791000,210.45,211.64,197.22,144.67,180.62,197.25,183.84,191.6,198.03,208.67,202.78,231
SIVB,SVB Financial,Financials,Regional Banks,51797000,254.27,244.69,216.75,140.01,184.86,212.81,206.28,227.58,256.16,245.3,306.98,355.17
SYF,Synchrony Financial,Financials,Consumer Finance,583800000,36.21,32.42,30.39,14.51,18.51,21.1,21.61,22.72,24.86,26.65,25.96,31.47
SNPS,Synopsys Inc.,Information Technology,Application Software,153032000,142.87,150.26,141.63,125.96,149.64,182.6,196.9,202.8,225.34,217.09,215.78,230.02
SYY,Sysco Corp.,Consumer Staples,Food Distributors,509359000,84.66,76.68,69.68,41.87,52.76,57.18,53.7,52.13,60.1,62.62,57.09,73.43
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,1241187000,78.59,79.46,93.29,85.13,86.2,99.7,106.13,106.88,116.9,115.73,110.39,133.73
TROW,T. Rowe Price Group,Financials,Asset Management & Custody Banks,226433000,125.16,134.52,125.48,93.87,110.44,121.87,122.51,137.4,139.18,128.04,128.97,145.5
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,115022000,122.08,124.35,112.06,116.33,122.65,136.22,144.11,167.69,172.5,166.11,154.03,180.06
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",277405000,26.93,26.03,23.69,11.07,15.16,14.19,12.97,13.34,14.75,15.9,23.63,28.36
TGT,Target Corp.,Consumer Discretionary,General Merchandise Stores,500773000,126.07,112.51,109.06,95.27,108.23,119.49,118.96,127.84,150.55,158.6,154.39,179.05
TEL,TE Connectivity Ltd.,Information Technology,Electronic Manufacturing Services,330743000,96.51,94,85.35,59.12,70.58,84.53,80.06,89.79,98.51,98.55,99.5,114.64
FTI,TechnipFMC,Energy,Oil & Gas Equipment & Services,449408000,21.33,16.99,15.08,6.56,8.27,7.85,6.91,8.06,7.69,6.27,5.96,8.62
TDY,Teledyne Technologies,Industrials,Aerospace & Defense,36953000,357.49,369.34,345.9,277.11,319.83,365.14,304.19,310.62,314.89,307.75,313.38,381.65
TFX,Teleflex,Health Care,Health Care Equipment,46567000,378.49,373.67,353.61,279.8,329.37,365.48,368.93,373.65,398.35,337.24,319.97,380.47
TER,Teradyne,Information Technology,Semiconductor Equipment,166056000,69.68,67.8,60.49,52.14,57.85,67.16,82.91,90.26,85.35,81.3,89.7,115.12
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,947901000,86.05,156,148.72,96.31,140.26,179.62,223.93,297,475.05,448.16,400.51,584.76
TXN,Texas Instruments,Information Technology,Semiconductors,917942000,129.57,123.4,118.97,96.89,109.71,117.86,124.8,129.32,144.96,144.91,145.6,163.49
TXT,Textron Inc.,Industrials,Aerospace & Defense,228875000,45.48,46.29,41.77,24.86,26.22,31.55,31.92,35.9,39.4,35.11,37.72,45.63
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,396335000,326.37,318.34,304.96,275.2,329.81,349.33,359.77,419.09,433.73,438.2,480.55,471.1
TIF,Tiffany & Co.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",121413000,133.85,134.2,133.67,129.34,127.06,128.5,122.23,125.47,123.49,116.03,130.92,131.35
TJX,TJX Companies Inc.,Consumer Discretionary,Apparel Retail,1200631000,61.7,60.24,62.19,44.62,48.25,53.33,51.18,51.89,55.27,57.08,51.74,64.88
TSCO,Tractor Supply Company,Consumer Discretionary,Specialty Stores,116497000,93.11,94.41,91.48,84,102.09,122.66,132.68,147.42,149.02,142.05,133.4,139.67
TT,Trane Technologies plc,Industrials,Building Products,240125000,134.35,136.19,100.55,80.89,86.81,90.43,88.86,112.19,120.2,121.95,137.55,145.7
TDG,TransDigm Group,Industrials,Aerospace & Defense,54436000,567.44,652.28,568.46,272.54,349.45,438.79,439.59,436.01,503.78,481.34,494.43,593.6
TRV,The Travelers Companies Inc.,Financials,Property & Casualty Insurance,253309000,137.51,133.61,127.68,95.2,96.05,109.15,112.5,114.4,114.69,107.81,123.92,133.41
TFC,Truist Financial,Financials,Regional Banks,1348118000,56.67,52.5,48.81,28.47,35.44,38.06,36.41,37.77,39.17,38.75,43.48,47.52
TWTR,"Twitter, Inc.",Communication Services,Interactive Media & Services,795350000,32.3,33.07,35.82,23.32,27.84,31.89,30.81,36.39,41.15,46.7,39.47,46.67
TYL,Tyler Technologies,Information Technology,Application Software,40327000,306.24,329.27,331.66,291.58,314.78,375.85,350.32,363.97,347.62,357.26,387.44,432.12
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,294793000,89.97,83.27,70.54,55.34,60.01,62.61,58.57,62.43,62.64,59.22,57.63,66.76
UDR,"UDR, Inc.",Real Estate,Residential REITs,294481000,46.12,48.06,47.08,32.98,36.1,37.76,38.89,35.12,34.6,33.8,32.79,38.63
ULTA,Ulta Beauty,Consumer Discretionary,Specialty Stores,56339000,254.55,274.96,260.99,161.5,214.28,239.09,203.57,191.29,232.88,228.63,210.78,279.53
USB,U.S. Bancorp,Financials,Diversified Banks,1506438000,59.2,53.69,48.16,31.93,34.94,36.69,35.98,36.8,36.69,36,39.74,44.25
UAA,Under Armour (Class A),Consumer Discretionary,"Apparel, Accessories & Luxury Goods",188534000,21.78,20.28,14.1,8.26,9.8,9.26,9.57,9.67,10.25,11.86,14.46,16.54
UA,Under Armour (Class C),Consumer Discretionary,"Apparel, Accessories & Luxury Goods",231684000,19.24,17.98,12.49,7.45,8.76,8.26,8.65,8.79,9.17,10.35,12.78,14.69
UNP,Union Pacific Corp,Industrials,Railroads,673869000,182.27,180.29,160.34,136.49,156.64,169.5,166.88,172.06,195.8,194.23,179.24,202.4
UAL,United Airlines Holdings,Industrials,Airlines,292662000,89.74,74.91,61.26,25.65,26.62,29.46,34.45,31.87,36.01,35.18,33.78,45.32
UNH,UnitedHealth Group Inc.,Health Care,Managed Health Care,948821000,292.5,274.02,273.11,237.32,284.51,305.93,297.73,303.61,312.83,313.07,312.1,341.19
UPS,United Parcel Service,Industrials,Air Freight & Logistics,715217000,116.79,102.03,92.75,90.39,91.9,99.28,114.42,142.18,162.65,167.65,159.55,167.96
URI,"United Rentals, Inc.",Industrials,Trading Companies & Distributors,72137000,168.65,139.52,135.8,95.98,119.28,139.96,145.8,159.63,182.54,175.35,192.67,233.64
UHS,Universal Health Services,Health Care,Health Care Facilities,77724000,142.31,137.26,131.82,87.92,99.15,104.59,93.18,107.75,110.57,106.2,113.88,130.84
UNM,Unum Group,Financials,Life & Health Insurance,203662000,29.64,27.03,25.04,13.1,16.5,16.06,15.9,17.07,18.54,17,18.51,22.49
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,407789000,95.13,80.25,67.87,41,58.76,66.58,56.44,53.91,52.47,40.28,39.9,54.4
VAR,Varian Medical Systems,Health Care,Health Care Equipment,91355000,144.81,140.22,126.55,94.44,111.37,122.54,121.52,174.17,173.8,171.63,172.54,174.19
VTR,Ventas Inc,Real Estate,Health Care REITs,374571000,56.39,57.92,52.36,22.95,30.33,35.5,38.32,37.71,41.87,43.49,40.97,48.02
VRSN,Verisign Inc.,Information Technology,Internet Services & Infrastructure,114110000,196.73,210.56,196.85,175.46,205.02,219.03,210.48,212.05,215.78,207.22,189.2,200.75
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,162590000,151.12,165.22,163.13,140.78,153.45,169.38,172.42,186.96,187.69,185.64,182.15,200.14
VZ,Verizon Communications,Communication Services,Integrated Telecommunication Services,4138094000,61.05,58.05,57.32,52.92,56.83,55.78,54.67,57.24,59.16,59.45,57.7,60.58
VRTX,Vertex Pharmaceuticals Inc,Health Care,Biotechnology,260038000,219.45,230.51,232.29,225.48,254.9,286.64,286.28,279.52,275.49,273.51,207.42,230.3
VFC,VF Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",390004000,100.23,82.91,74.65,48.68,55.43,58.07,60.6,59.81,66.56,71.58,68.77,84.81
VIAC,ViacomCBS,Communication Services,Movies & Entertainment,564980000,42.09,33.08,24.31,12.78,16.46,21.53,23.6,25.71,27.7,27.68,29.6,36.36
VTRS,Viatris,Health Care,Pharmaceuticals,1200000000,20.65,21.62,17.48,14.26,16.13,17.62,15.76,16.36,15.5,14.8,15.14,17.01
V,Visa Inc.,Information Technology,Data Processing & Outsourced Services,1695677000,191.12,200.81,192.33,153.11,175.57,194.35,193.78,190.69,213.35,203.35,184.74,211.2
VNT,Vontier,Information Technology,Electronic Equipment & Instruments,168487000,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,100.08,20.3,33
VNO,Vornado Realty Trust,Real Estate,Office REITs,191261000,65.5,65.26,55.58,33.66,42,38.13,38.63,34.02,35.07,34.65,32.5,39.3
VMC,Vulcan Materials,Materials,Construction Materials,132511000,142.72,144.55,125.84,107.12,110.68,107.34,115.96,117.53,122.22,134.38,149.44,143.35
WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,178221000,68.96,74.39,70.2,50.24,51.45,57.96,57.03,62.14,62.63,60.79,62,67.54
WAB,Westinghouse Air Brake Technologies Corp,Industrials,Construction Machinery & Heavy Trucks,190326000,80.95,76.04,68.37,46.12,54.41,61.92,58,61.47,68.91,60.73,61.68,72.3
WMT,Walmart,Consumer Staples,Hypermarkets & Super Centers,2829286000,118.94,114.27,115.88,114.14,122.92,123.96,119.69,129.3,147.59,143.08,140.4,152.64
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,865916000,59.08,50.95,48.11,43.03,41.66,43.3,40.88,41.08,36.76,35.87,35.79,38.46
DIS,The Walt Disney Company,Communication Services,Movies & Entertainment,1810485000,148.2,141.32,119.98,94.92,105.5,118.77,113.01,116.35,133.55,123.31,120.13,149.44
WM,Waste Management Inc.,Industrials,Environmental & Facilities Services,422606000,114.22,122.69,117.03,88.43,98.21,106.01,105.09,108.98,113.64,112.89,110.67,119.64
WAT,Waters Corporation,Health Care,Health Care Distributors,62048000,235.06,226.05,202.7,182.31,178.08,199.67,180.15,213.05,212.02,195.68,222.22,234.19
WEC,WEC Energy Group,Utilities,Electric Utilities,315435000,90.67,100.89,97.69,83.52,88.46,93.13,89.33,93.64,93.59,98.25,103.14,95.6
WFC,Wells Fargo,Financials,Diversified Banks,4134490000,53.75,47.12,42.26,26.57,27.59,27.09,25.09,24.29,24.05,23.56,21.9,28.06
WELL,Welltower Inc.,Real Estate,Health Care REITs,417305000,80.14,84.46,75.26,40.6,47.33,53.07,53.64,52.87,58.13,56.42,56.74,63.49
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,73927000,151.74,158.29,156.49,149.8,191.64,212.14,224.99,278.64,281.75,275.79,271.4,272.01
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",304245000,65.62,67.24,60.04,38.67,40.48,43.08,42.45,43.9,37.34,36.33,37.03,47.27
WU,Western Union Co,Information Technology,Data Processing & Outsourced Services,411121000,26.19,27.09,23.49,17.6,18.52,20.71,21.69,24.21,23.6,21.48,20.33,22.6
WRK,WestRock,Materials,Paper Packaging,263090000,43.45,39.47,34.19,26.71,30.84,28.58,27.66,27.82,32.07,34.06,39.11,43.09
WY,Weyerhaeuser,Real Estate,Specialized REITs,746423000,29.39,28.22,27.44,16.12,17.97,21.05,22.2,28,30.78,28.79,28.12,29.27
WHR,Whirlpool Corp.,Consumer Discretionary,Household Appliances,62547000,148.45,147.15,133.87,80.6,112.19,123.77,127.04,164.61,178.27,183.19,192.73,193.8
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,1213586000,23.49,21.12,19.6,13.33,18.55,20.44,18.81,19.72,20.96,18.78,18.77,20.9
WLTW,Willis Towers Watson,Financials,Insurance Brokers,128905000,204.28,215.11,199.54,156.19,183.34,202.46,195.25,204.65,208.37,210.08,179.57,214.09
WYNN,Wynn Resorts Ltd,Consumer Discretionary,Casinos & Gaming,107871000,143.6,128.58,107.94,54,80.83,86.47,73.79,73.05,86.28,72.07,75.85,102.36
XEL,Xcel Energy Inc,Utilities,Multi-Utilities,525458000,62.38,69.45,65.87,58.08,62.18,65.75,64.19,68.76,68.55,70.38,71.78,68.41
XRX,Xerox,Information Technology,"Technology Hardware, Storage & Peripherals",198385000,36.93,36.29,33.51,17.6,17.03,17,15.15,16.01,18.51,18.67,18.13,22.16
XLNX,Xilinx,Information Technology,Semiconductors,245122000,101.65,85.05,84.61,76.69,82.99,90.85,93.27,106.39,105.31,105.91,118.48,145.8
XYL,Xylem Inc.,Industrials,Industrial Machinery,180232000,79.85,83.34,82.29,59.77,69.29,66,63.65,73.62,81.73,82.56,88.59,97.07
YUM,Yum! Brands Inc,Consumer Discretionary,Restaurants,301668000,102.17,106.41,92.53,67.65,83.81,90.52,86.45,90.92,96.15,91.82,95.25,106.34
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,53316000,259.14,242.55,221.71,176.46,225.55,264.97,251.23,280.72,287.16,258.48,293.07,372.17
ZBH,Zimmer Biomet,Health Care,Health Care Equipment,207278000,149.2,148.51,139.25,89.63,116.25,127.88,119.34,135.72,140.48,137.33,132.52,146.1
ZION,Zions Bancorp,Financials,Regional Banks,164012000,52.44,46.11,41.3,25.32,30.9,33.42,32.55,32.45,32.19,29.12,33.22,40.07
ZTS,Zoetis,Health Care,Pharmaceuticals,475268000,134.14,135.52,138.91,111.92,127.53,138.34,137.19,154.51,162.05,164.03,162.89,161.36
